VendorName,Dollars,Quantity,PaymentDelay,PerformanceScore
MOONLIGHT MEADERY          ,71357.59,7967,34.907407407407405,-15.943427803703702
TAKARA SAKE USA INC        ,45289.34,9066,34.67272727272727,-15.976870236363636
POVERTY LANE ORCHARDS      ,45269.01,5872,34.57446808510638,-16.24734394255319
SURVILLE ENTERPRISES CORP  ,51325.77,6504,35.05555555555556,-16.364120077777777
HAUNTING WHISPER VYDS      ,5388.58,669,33.1,-16.4292142
"PREMIUM PORT WINES, INC.   ",59760.74,8167,35.77358490566038,-16.472485052830187
VINEYARD BRANDS LLC        ,10951.51,371,33.333333333333336,-16.520051566666666
BLACK PRINCE DISTILLERY INC,5971.94,807,33.34285714285714,-16.531009171428572
TY KU LLC                  ,38921.47,3003,34.46,-16.5404853
SMOKY QUARTZ DISTILLERY LLC,69803.70999999999,3197,35.1875,-16.5760129
ADAMBA IMPORTS INTL INC    ,76770.25,4732,35.68571428571428,-16.60195464285714
FULCHINO VINEYARD INC      ,11147.77,949,33.88235294117647,-16.734798770588235
TAMWORTH DISTILLING        ,41036.44,1990,34.77777777777778,-16.77952448888889
JEWELL TOWNE VINEYARDS     ,54332.37,6630,36.0,-16.7936763
THE IMPORTED GRAPE LLC     ,16093.77,2280,34.40425531914894,-16.81318995957447
TALL SHIP DISTILLERY LLC   ,48445.58,2236,35.07843137254902,-16.83115988627451
CANDIA VINEYARDS           ,36588.01,2609,35.14,-16.9432199
ATLANTIC IMPORTING COMPANY ,41116.32,1847,35.113207547169814,-16.960740573584907
PREMIER DISTRIBUTORS       ,84530.87,5916,36.833333333333336,-16.979757966666668
SWEETWATER FARM         ,34708.03,1629,35.0,-16.9900197
SOUTHERN GLAZERS W&S OF NE ,40803.92,4198,35.666666666666664,-17.005494133333332
Dunn Wine Brokers          ,72055.3,5448,36.66,-17.064646999999997
FORTUNE WINE BROKERS LLC   ,46940.17,5072,36.113207547169814,-17.080002073584907
PARK STREET IMPORTS LLC    ,69459.42,4349,36.4375,-17.0892558
INCREDIBREW INC            ,24525.84,2786,35.25,-17.1011416
WEIN BAUER INC             ,43517.0,3014,35.679245283018865,-17.103052641509432
"HOOD RIVER DISTILLERS, Inc.",24035.96,1137,35.083333333333336,-17.18760706666667
THE PIERPONT GROUP LLC     ,5713.1900000000005,580,34.8,-17.284868099999997
ALTAMAR BRANDS LLC         ,11706.199999999999,332,34.975,-17.337238
CENTEUR IMPORTS LLC        ,6237.08,771,35.026315789473685,-17.37368709473684
DJINN SPIRITS LLC          ,48830.78,2637,36.27450980392157,-17.385247101960783
WALPOLE MTN VIEW WINERY    ,9292.31,805,35.1875,-17.4203269
STARK BREWING COMPANY      ,25961.04,1212,35.666666666666664,-17.45252293333333
