VendorName,Dollars,Freight,PaymentDelay,RiskScore
MOONLIGHT MEADERY          ,71357.59,365.61,34.907407407407405,124.35953886296296
PARK STREET IMPORTS LLC    ,69459.42,360.28999999999996,36.4375,123.35659419999999
Dunn Wine Brokers          ,72055.3,358.03000000000003,36.66,122.793553
SMOKY QUARTZ DISTILLERY LLC,69803.70999999999,342.65,35.1875,117.56803709999998
"PREMIUM PORT WINES, INC.   ",59760.74,301.2,35.77358490566038,105.26704136226415
JEWELL TOWNE VINEYARDS     ,54332.37,283.61,36.0,100.0263237
SURVILLE ENTERPRISES CORP  ,51325.77,263.32,35.05555555555556,93.53147992222222
TALL SHIP DISTILLERY LLC   ,48445.58,259.9,35.07843137254902,92.4858283490196
DJINN SPIRITS LLC          ,48830.78,251.28,36.27450980392157,90.38211172156863
FORTUNE WINE BROKERS LLC   ,46940.17,238.61,36.113207547169814,86.49768471886793
TAKARA SAKE USA INC        ,45289.34,232.99,34.67272727272727,84.21898430909091
POVERTY LANE ORCHARDS      ,45269.01,229.88,34.57446808510638,83.24647733404255
WEIN BAUER INC             ,43517.0,222.23,35.679245283018865,81.37586811320755
Circa Wines                ,42554.340000000004,211.97,37.06976744186046,78.84445037674418
MARTIGNETTI COMPANIES ,40216.11,209.32,37.888888888888886,78.35371665555554
ATLANTIC IMPORTING COMPANY ,41116.32,211.74,35.113207547169814,77.97844621886793
SOUTHERN GLAZERS W&S OF NE ,40803.92,207.76,35.666666666666664,77.00270586666666
TAMWORTH DISTILLING        ,41036.44,202.5,34.77777777777778,75.07147551111112
TY KU LLC                  ,38921.47,198.94,34.46,73.85521469999999
CANDIA VINEYARDS           ,36588.01,194.13,35.14,72.6608801
SWEETWATER FARM         ,34708.03,178.34,35.0,67.84908030000001
ALISA CARR BEVERAGES           ,34951.68,172.0,37.78947368421053,67.06530627368421
STARK BREWING COMPANY      ,25961.04,130.09,35.666666666666664,53.553277066666666
INCREDIBREW INC            ,24525.84,124.44,35.25,51.6772584
STELLAR IMPORTING CO LLC   ,24560.08,119.23,36.19607843137255,50.493032172549015
"HOOD RIVER DISTILLERS, Inc.",24035.96,117.52000000000001,35.083333333333336,49.52969293333333
